# mapping file for CO2 markets
market,region
"AnhuiCO2","Anhui"
"AnhuiCO2_NearTerm","Anhui"
"BeijingCO2","Beijing"
"BeijingCO2_NearTerm","Beijing"
"ChongqingCO2","Chongqing"
"ChongqingCO2_NearTerm","Chongqing"
"FujianCO2","Fujian"
"FujianCO2_NearTerm","Fujian"
"GuangdongCO2","Guangdong"
"GuangdongCO2_NearTerm","Guangdong"
"GansuCO2","Gansu"
"GansuCO2_NearTerm","Gansu"
"GuangxiCO2","Guangxi"
"GuangxiCO2_NearTerm","Guangxi"
"GuizhouCO2","Guizhou"
"GuizhouCO2_NearTerm","Guizhou"
"HenanCO2","Henan"
"HenanCO2_NearTerm","Henan"
"HubeiCO2","Hubei"
"HubeiCO2_NearTerm","Hubei"
"HebeiCO2","Hebei"
"HebeiCO2_NearTerm","Hebei"
"HainanCO2","Hainan"
"HainanCO2_NearTerm","Hainan"
"Hong KongCO2","Hong Kong"
"Hong KongCO2_NearTerm","Hong Kong"
"HeilongjiangCO2","Heilongjiang"
"HeilongjiangCO2_NearTerm","Heilongjiang"
"HunanCO2","Hunan"
"HunanCO2_NearTerm","Hunan"
"JilinCO2","Jilin"
"JilinCO2_NearTerm","Jilin"
"JiangsuCO2","Jiangsu"
"JiangsuCO2_NearTerm","Jiangsu"
"JiangxiCO2","Jiangxi"
"JiangxiCO2_NearTerm","Jiangxi"
"LiaoningCO2","Liaoning"
"LiaoningCO2_NearTerm","Liaoning"
"MacaoCO2","Macao"
"MacaoCO2_NearTerm","Macao"
"Inner MongoliaCO2","Inner Mongolia"
"Inner MongoliaCO2_NearTerm","Inner Mongolia"
"NingxiaCO2","Ningxia"
"NingxiaCO2_NearTerm","Ningxia"
"QinghaiCO2","Qinghai"
"QinghaiCO2_NearTerm","Qinghai"
"SichuanCO2","Sichuan"
"SichuanCO2_NearTerm","Sichuan"
"ShandongCO2","Shandong"
"ShandongCO2_NearTerm","Shandong"
"ShanghaiCO2","Shanghai"
"ShanghaiCO2_NearTerm","Shanghai"
"ShaanxiCO2","Shaanxi"
"ShaanxiCO2_NearTerm","Shaanxi"
"ShanxiCO2","Shanxi"
"ShanxiCO2_NearTerm","Shanxi"
"TianjinCO2","Tianjin"
"TianjinCO2_NearTerm","Tianjin"
"XinjiangCO2","Xinjiang"
"XinjiangCO2_NearTerm","Xinjiang"
"TibetCO2","Tibet"
"TibetCO2_NearTerm","Tibet"
"YunnanCO2","Yunnan"
"YunnanCO2_NearTerm","Yunnan"
"ZhejiangCO2","Zhejiang"
"ZhejiangCO2_NearTerm","Zhejiang"
