# mapping file for CO2 markets
market,region
Africa_EasternCO2,Africa_Eastern
Africa_NorthernCO2,Africa_Northern
Africa_SouthernCO2,Africa_Southern
Africa_WesternCO2,Africa_Western
ArgentinaCO2,Argentina
Australia_NZCO2,Australia_NZ
BrazilCO2,Brazil
CanadaCO2,Canada
Central America and CaribbeanCO2,Central America and Caribbean
Central AsiaCO2,Central Asia
ChinaCO2,China
ColombiaCO2,Colombia
EFTACO2,European Free Trade Association
EUCO2_ETS,EU-12
EUCO2_ETS,EU-15
European Free Trade AssociationCO2_ETS,European Free Trade Association
European Free Trade AssociationCO2,European Free Trade Association
EU12CO2,EU-12
EU-12CO2,EU-12
EU_12CO2,EU-12
EUCO2,EU-12
EU_ETSCO2_ETS,EU-12
EU15CO2,EU-15
EU-15CO2,EU-15
EU_15CO2,EU-15
EUCO2,EU-15
EU_ETSCO2_ETS,EU-15
Europe_EasternCO2,Europe_Eastern
Europe_Non_EUCO2,Europe_Non_EU
IndiaCO2,India
IndonesiaCO2,Indonesia
PakistanCO2,Pakistan
JapanCO2,Japan
MexicoCO2,Mexico
Middle EastCO2,Middle East
RussiaCO2,Russia
South AfricaCO2,South Africa
South America_SouthernCO2,South America_Southern
South America_NorthernCO2,South America_Northern
South AsiaCO2,South Asia
South KoreaCO2,South Korea
Southeast AsiaCO2,Southeast Asia
TaiwanCO2,Taiwan
USACO2,USA
Africa_EasternCO2_NearTerm,Africa_Eastern
Africa_NorthernCO2_NearTerm,Africa_Northern
Africa_SouthernCO2_NearTerm,Africa_Southern
Africa_WesternCO2_NearTerm,Africa_Western
ArgentinaCO2_NearTerm,Argentina
Australia_NZCO2_NearTerm,Australia_NZ
BrazilCO2_NearTerm,Brazil
CanadaCO2_NearTerm,Canada
Central America and CaribbeanCO2_NearTerm,Central America and Caribbean
Central AsiaCO2_NearTerm,Central Asia
ChinaCO2_NearTerm,China
ColombiaCO2_NearTerm,Colombia
EFTACO2_NearTerm,European Free Trade Association
EUCO2_ETS,EU-12
EUCO2_ETS,EU-15
European Free Trade AssociationCO2_ETS,European Free Trade Association
European Free Trade AssociationCO2_NearTerm,European Free Trade Association
EU12CO2_NearTerm,EU-12
EU-12CO2_NearTerm,EU-12
EU_12CO2_NearTerm,EU-12
EUCO2_NearTerm,EU-12
EU_ETSCO2_ETS,EU-12
EU15CO2_NearTerm,EU-15
EU-15CO2_NearTerm,EU-15
EU_15CO2_NearTerm,EU-15
EUCO2_NearTerm,EU-15
EU_ETSCO2_ETS,EU-15
Europe_EasternCO2_NearTerm,Europe_Eastern
Europe_Non_EUCO2_NearTerm,Europe_Non_EU
IndiaCO2_NearTerm,India
IndonesiaCO2_NearTerm,Indonesia
PakistanCO2_NearTerm,Pakistan
JapanCO2_NearTerm,Japan
MexicoCO2_NearTerm,Mexico
Middle EastCO2_NearTerm,Middle East
RussiaCO2_NearTerm,Russia
South AfricaCO2_NearTerm,South Africa
South America_SouthernCO2_NearTerm,South America_Southern
South America_NorthernCO2_NearTerm,South America_Northern
South AsiaCO2_NearTerm,South Asia
South KoreaCO2_NearTerm,South Korea
Southeast AsiaCO2_NearTerm,Southeast Asia
TaiwanCO2_NearTerm,Taiwan
USACO2_NearTerm,USA
EU_ETSCO2_ETS,EU-12
EU_ETSCO2_ETS,EU-15
EUCO2_ETS,EU-12
EUCO2_ETS,EU-15
European Free Trade AssociationCO2_ETS,European Free Trade Association

ChinaCO2,AH
ChinaCO2_NearTerm,AH
ChinaCO2,BJ
ChinaCO2_NearTerm,BJ
ChinaCO2,CQ
ChinaCO2_NearTerm,CQ
ChinaCO2,FJ
ChinaCO2_NearTerm,FJ
ChinaCO2,GD
ChinaCO2_NearTerm,GD
ChinaCO2,GS
ChinaCO2_NearTerm,GS
ChinaCO2,GX
ChinaCO2_NearTerm,GX
ChinaCO2,GZ
ChinaCO2_NearTerm,GZ
ChinaCO2,HA
ChinaCO2_NearTerm,HA
ChinaCO2,HB
ChinaCO2_NearTerm,HB
ChinaCO2,HE
ChinaCO2_NearTerm,HE
ChinaCO2,HI
ChinaCO2_NearTerm,HI
ChinaCO2,HK
ChinaCO2_NearTerm,HK
ChinaCO2,HL
ChinaCO2_NearTerm,HL
ChinaCO2,HN
ChinaCO2_NearTerm,HN
ChinaCO2,JL
ChinaCO2_NearTerm,JL
ChinaCO2,JS
ChinaCO2_NearTerm,JS
ChinaCO2,JX
ChinaCO2_NearTerm,JX
ChinaCO2,LN
ChinaCO2_NearTerm,LN
ChinaCO2,MC
ChinaCO2_NearTerm,MC
ChinaCO2,NM
ChinaCO2_NearTerm,NM
ChinaCO2,NX
ChinaCO2_NearTerm,NX
ChinaCO2,QH
ChinaCO2_NearTerm,QH
ChinaCO2,SC
ChinaCO2_NearTerm,SC
ChinaCO2,SD
ChinaCO2_NearTerm,SD
ChinaCO2,SH
ChinaCO2_NearTerm,SH
ChinaCO2,SN
ChinaCO2_NearTerm,SN
ChinaCO2,SX
ChinaCO2_NearTerm,SX
ChinaCO2,TJ
ChinaCO2_NearTerm,TJ
ChinaCO2,XJ
ChinaCO2_NearTerm,XJ
ChinaCO2,XZ
ChinaCO2_NearTerm,XZ
ChinaCO2,YN
ChinaCO2_NearTerm,YN
ChinaCO2,ZJ
ChinaCO2_NearTerm,ZJ
