# Capital costs of intermittent lectricity load segments generation technologies,,,,,,
supplysector,subsector,intermittent.technology,year,input.capital,capital.overnight,fixed.charge.rate
elect_td_bld,rooftop_pv,rooftop_pv,1975,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,1990,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2005,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2010,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2015,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2020,capital,125.1477122,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2025,capital,100.9887625,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2030,capital,86.62398163,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2035,capital,78.13570203,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2040,capital,73.12979354,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2045,capital,70.300367,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2050,capital,68.55918144,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2055,capital,67.47094047,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2060,capital,66.81799588,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2065,capital,66.81799588,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2070,capital,66.60034769,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2075,capital,66.38269949,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2080,capital,66.1650513,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2085,capital,66.1650513,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2090,capital,65.9474031,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2095,capital,65.9474031,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2100,capital,65.9474031,0.1
intermediate generation,solar,PV_int,1975,capital,667,0.13
intermediate generation,solar,PV_int,1990,capital,667,0.13
intermediate generation,solar,PV_int,2005,capital,667,0.13
intermediate generation,solar,PV_int,2010,capital,667,0.13
intermediate generation,solar,PV_int,2015,capital,667,0.13
intermediate generation,solar,PV_int,2020,capital,127.5022285,0.13
intermediate generation,solar,PV_int,2025,capital,104.5726724,0.13
intermediate generation,solar,PV_int,2030,capital,91.37080681,0.13
intermediate generation,solar,PV_int,2035,capital,83.38020393,0.13
intermediate generation,solar,PV_int,2040,capital,78.5163587,0.13
intermediate generation,solar,PV_int,2045,capital,75.73701857,0.13
intermediate generation,solar,PV_int,2050,capital,73.99993099,0.13
intermediate generation,solar,PV_int,2055,capital,73.30509596,0.13
intermediate generation,solar,PV_int,2060,capital,72.61026092,0.13
intermediate generation,solar,PV_int,2065,capital,72.61026092,0.13
intermediate generation,solar,PV_int,2070,capital,72.26284341,0.13
intermediate generation,solar,PV_int,2075,capital,71.91542589,0.13
intermediate generation,solar,PV_int,2080,capital,71.91542589,0.13
intermediate generation,solar,PV_int,2085,capital,71.91542589,0.13
intermediate generation,solar,PV_int,2090,capital,71.91542589,0.13
intermediate generation,solar,PV_int,2095,capital,71.91542589,0.13
intermediate generation,solar,PV_int,2100,capital,71.91542589,0.13
intermediate generation,solar,CSP_int,1975,capital,1362,0.13
intermediate generation,solar,CSP_int,1990,capital,1362,0.13
intermediate generation,solar,CSP_int,2005,capital,1362,0.13
intermediate generation,solar,CSP_int,2010,capital,1362,0.13
intermediate generation,solar,CSP_int,2015,capital,1362,0.13
intermediate generation,solar,CSP_int,2020,capital,813.8881172,0.13
intermediate generation,solar,CSP_int,2025,capital,696.0274663,0.13
