# Capital costs of electricity load segments generation technologies,,,,,,
supplysector,subsector,technology,year,input.capital,capital.overnight,fixed.charge.rate
base load generation,biomass,biomass_base_conv,1975,capital,1065,0.13
base load generation,biomass,biomass_base_conv,1990,capital,1065,0.13
base load generation,biomass,biomass_base_conv,2005,capital,1065,0.13
base load generation,biomass,biomass_base_conv,2010,capital,1065,0.13
base load generation,biomass,biomass_base_conv,2015,capital,1065,0.13
base load generation,biomass,biomass_base_conv,2020,capital,372.4946999,0.13
base load generation,biomass,biomass_base_conv,2025,capital,365.1980359,0.13
base load generation,biomass,biomass_base_conv,2030,capital,358.9958714,0.13
base load generation,biomass,biomass_base_conv,2035,capital,353.1585402,0.13
base load generation,biomass,biomass_base_conv,2040,capital,348.0508753,0.13
base load generation,biomass,biomass_base_conv,2045,capital,343.3080437,0.13
base load generation,biomass,biomass_base_conv,2050,capital,339.2948785,0.13
base load generation,biomass,biomass_base_conv,2055,capital,335.2817132,0.13
base load generation,biomass,biomass_base_conv,2060,capital,331.9982144,0.13
base load generation,biomass,biomass_base_conv,2070,capital,328.7147156,0.13
base load generation,biomass,biomass_base_conv,2075,capital,325.79605,0.13
base load generation,biomass,biomass_base_conv,2080,capital,323.2422175,0.13
base load generation,biomass,biomass_base_conv,2085,capital,321.0532183,0.13
base load generation,biomass,biomass_base_conv,2090,capital,318.8642191,0.13
base load generation,biomass,biomass_base_conv,2095,capital,317.0400531,0.13
base load generation,biomass,biomass_base_conv,2100,capital,315.2158871,0.13
base load generation,biomass,biomass_base_conv_CCS,1975,capital,2051,0.13
base load generation,biomass,biomass_base_conv_CCS,1990,capital,2051,0.13
base load generation,biomass,biomass_base_conv_CCS,2005,capital,2051,0.13
base load generation,biomass,biomass_base_conv_CCS,2010,capital,2051,0.13
base load generation,biomass,biomass_base_conv_CCS,2015,capital,2051,0.13
base load generation,biomass,biomass_base_conv_CCS,2020,capital,773.0570525,0.13
base load generation,biomass,biomass_base_conv_CCS,2025,capital,743.482075,0.13
base load generation,biomass,biomass_base_conv_CCS,2030,capital,716.3716789,0.13
base load generation,biomass,biomass_base_conv_CCS,2035,capital,692.1366278,0.13
base load generation,biomass,biomass_base_conv_CCS,2040,capital,669.9553946,0.13
base load generation,biomass,biomass_base_conv_CCS,2045,capital,650.2387429,0.13
base load generation,biomass,biomass_base_conv_CCS,2050,capital,632.1651455,0.13
base load generation,biomass,biomass_base_conv_CCS,2055,capital,616.145366,0.13
