region,technology,year,vintage,mapping,subsector,market,sector,input,ghg,resource,scenario,fuel
Central China Grid,electricity,2020,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
Central China Grid,electricity,2025,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
Central China Grid,electricity,2030,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
Central China Grid,electricity,2035,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
Central China Grid,electricity,2040,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
Central China Grid,electricity,2045,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
Central China Grid,electricity,2050,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
Central China Grid,electricity,2055,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
Central China Grid,electricity,2060,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
China Southern Power Grid,electricity,2020,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
China Southern Power Grid,electricity,2025,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
China Southern Power Grid,electricity,2030,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
China Southern Power Grid,electricity,2035,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
China Southern Power Grid,electricity,2040,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
China Southern Power Grid,electricity,2045,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
China Southern Power Grid,electricity,2050,NA,elec_cf_vGCAMChina7.1,NA,NA,NA,NA,NA,NA,NA,NA
