# UCD data region mapping to GCAM regions
GCAM_region,UCD_region
Africa_Eastern,Africa
Africa_Northern,Africa
Africa_Southern,Africa
Africa_Western,Africa
Argentina,Latin America
Australia_NZ,Australia_NZ
Brazil,Brazil
Canada,Canada
Central America and Caribbean,Latin America
Central Asia,Former Soviet Union
China,China
Colombia,Latin America
EU-12,Western Europe
EU-15,Western Europe
Europe_Eastern,Former Soviet Union
Europe_Non_EU,Eastern Europe
European Free Trade Association,Western Europe
India,India
Indonesia,Southeast Asia
Japan,Japan
Mexico,Latin America
Middle East,Middle East
Pakistan,Southeast Asia
Russia,Former Soviet Union
South Africa,Africa
South America_Northern,Latin America
South America_Southern,Latin America
South Asia,Southeast Asia
South Korea,Korea
Southeast Asia,Southeast Asia
Taiwan,Southeast Asia
USA,USA
AH,China
BJ,China
CQ,China
FJ,China
GD,China
GS,China
GX,China
GZ,China
HA,China
HB,China
HE,China
HI,China
HK,China
HL,China
HN,China
JL,China
JS,China
JX,China
LN,China
MC,China
NM,China
NX,China
QH,China
SC,China
SD,China
SH,China
SN,China
SX,China
TJ,China
XJ,China
XZ,China
YN,China
ZJ,China
