# Multiple load segments Electricity generation by technology (inc solar roofs),,,,,,,,,,
sector,subsector,technology,var1,var2,var3,var4,var6,var7,var8,unit_conv
base load generation,biomass,biomass_base_conv,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,,1
base load generation,biomass,biomass_base_IGCC,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,,1
base load generation,coal,coal_base_conv pul,Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,1
base load generation,coal,coal_base_IGCC,Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,1
base load generation,gas,gas_base_CC,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Gas|CC,Secondary Energy|Electricity|Gas|CC|w/o CCS,,,1
base load generation,hydro,hydro_base,Secondary Energy|Electricity,Secondary Energy|Electricity|Hydro,,Secondary Energy|Electricity|Non-Biomass Renewables,,,,1
base load generation,refined liquids,refined liquids_base_steam/CT,Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,,,,,1
base load generation,solar,CSP_base_storage,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|CSP,Secondary Energy|Electricity|Non-Biomass Renewables,,,,1
base load generation,solar,PV_base_storage,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|PV,Secondary Energy|Electricity|Non-Biomass Renewables,,,,1
base load generation,wind,wind_base,Secondary Energy|Electricity,Secondary Energy|Electricity|Wind,Secondary Energy|Electricity|Wind|Onshore,Secondary Energy|Electricity|Non-Biomass Renewables,,,,1
base load generation,wind,wind_base_offshore,Secondary Energy|Electricity,Secondary Energy|Electricity|Wind,Secondary Energy|Electricity|Wind|Offshore,Secondary Energy|Electricity|Non-Biomass Renewables,,,,1
base load generation,wind,wind_base_storage,Secondary Energy|Electricity,Secondary Energy|Electricity|Wind,Secondary Energy|Electricity|Wind|Onshore,Secondary Energy|Electricity|Non-Biomass Renewables,,,,1
elect_td_bld,rooftop_pv,rooftop_pv,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|PV,Secondary Energy|Electricity|Non-Biomass Renewables,,,,1
intermediate generation,biomass,biomass_int_conv,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,,1
intermediate generation,biomass,biomass_int_IGCC,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,,1
intermediate generation,coal,coal_int_conv pul,Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,1
intermediate generation,coal,coal_int_IGCC,Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,1
intermediate generation,gas,gas_int_CC,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Gas|CC,Secondary Energy|Electricity|Gas|CC|w/o CCS,,,1
intermediate generation,hydro,hydro_int,Secondary Energy|Electricity,Secondary Energy|Electricity|Hydro,,Secondary Energy|Electricity|Non-Biomass Renewables,,,,1
