# Mapping of demand for final fuels in GCAM-China (byu version) with detailed industry,,,,,,,,,,,,,,
sector,input,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,unit_conv
cement,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,Final Energy|Industry|Cement,Final Energy|Industry|Cement,,,,1
process heat cement,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|Cement,Final Energy|Industry|Cement|Solids,Final Energy|Industry|Cement|Solids|Coal,,1
process heat cement,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,Final Energy|Industry|Cement,Final Energy|Industry|Cement|Hydrogen,,,1
process heat cement,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,Final Energy|Industry|Cement,Final Energy|Industry|Cement|Liquids,,,1
process heat cement,H2 industrial,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,Final Energy|Industry|Cement,Final Energy|Industry|Cement|Hydrogen,,,1
chemical energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Solids,Final Energy|Industry|Chemicals|Solids|Coal,,1
chemical energy use,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Industry,,Final Energy|Industry|Heat,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Heat,,,1
chemical energy use,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Electricity,,,1
chemical energy use,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Gases,,,1
chemical energy use,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Hydrogen,,,1
chemical energy use,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Liquids,,,1
chemical energy use,H2 industrial,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Hydrogen,,,1
N fertilizer,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|N fertilizer,Final Energy|Industry|N fertilizer|Solids,Final Energy|Industry|N fertilizer|Solids|Coal,,1
N fertilizer,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,Final Energy|Industry|Chemicals|Gases,Final Energy|Industry|N fertilizer,Final Energy|Industry|N fertilizer|Gases,,,1
N fertilizer,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,Final Energy|Industry|Chemicals|Hydrogen,Final Energy|Industry|N fertilizer,Final Energy|Industry|N fertilizer|Hydrogen,,,1
N fertilizer,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,Final Energy|Industry|Chemicals|Liquids,Final Energy|Industry|N fertilizer,Final Energy|Industry|N fertilizer|Liquids,,,1
N fertilizer,H2 industrial,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,Final Energy|Industry|Chemicals|Hydrogen,Final Energy|Industry|N fertilizer,Final Energy|Industry|N fertilizer|Hydrogen,,,1
chemical feedstocks,coal,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Coal,,,,,,,,,,,1
chemical feedstocks,gas,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Gas,,,,,,,,,,,1
