crop,province_code,province_name_en,share,notes
biomass,AH,Anhui,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,BJ,Beijing,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,CQ,Chongqing,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,FJ,Fujian,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,GD,Guangdong,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,GS,Gansu,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,GX,Guangxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,GZ,Guizhou,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,HA,Henan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,HB,Hubei,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,HE,Hebei,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,HI,Hainan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,HL,Heilongjiang,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,HN,Hunan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,JL,Jilin,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,JS,Jiangsu,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,JX,Jiangxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,LN,Liaoning,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,NM,Inner Mongolia,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,NX,Ningxia,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,QH,Qinghai,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,SC,Sichuan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,SD,Shandong,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,SH,Shanghai,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,SN,Shaanxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,SX,Shanxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,TJ,Tianjin,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,XJ,Xinjiang,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,XZ,Tibet,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,YN,Yunnan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
biomass,ZJ,Zhejiang,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,AH,Anhui,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,BJ,Beijing,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,CQ,Chongqing,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,FJ,Fujian,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,GD,Guangdong,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,GS,Gansu,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,GX,Guangxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,GZ,Guizhou,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,HA,Henan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,HB,Hubei,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,HE,Hebei,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,HI,Hainan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,HL,Heilongjiang,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,HN,Hunan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,JL,Jilin,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,JS,Jiangsu,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,JX,Jiangxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,LN,Liaoning,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,NM,Inner Mongolia,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,NX,Ningxia,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,QH,Qinghai,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,SC,Sichuan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,SD,Shandong,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,SH,Shanghai,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,SN,Shaanxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,SX,Shanxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,TJ,Tianjin,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,XJ,Xinjiang,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,XZ,Tibet,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,YN,Yunnan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
Corn,ZJ,Zhejiang,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,AH,Anhui,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,BJ,Beijing,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,CQ,Chongqing,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,FJ,Fujian,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,GD,Guangdong,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,GS,Gansu,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,GX,Guangxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,GZ,Guizhou,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,HA,Henan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,HB,Hubei,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,HE,Hebei,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,HI,Hainan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,HL,Heilongjiang,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,HN,Hunan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,JL,Jilin,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,JS,Jiangsu,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,JX,Jiangxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,LN,Liaoning,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,NM,Inner Mongolia,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,NX,Ningxia,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,QH,Qinghai,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,SC,Sichuan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,SD,Shandong,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,SH,Shanghai,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,SN,Shaanxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,SX,Shanxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,TJ,Tianjin,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,XJ,Xinjiang,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,XZ,Tibet,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,YN,Yunnan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FiberCrop,ZJ,Zhejiang,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,AH,Anhui,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,BJ,Beijing,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,CQ,Chongqing,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,FJ,Fujian,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,GD,Guangdong,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,GS,Gansu,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,GX,Guangxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,GZ,Guizhou,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,HA,Henan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,HB,Hubei,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,HE,Hebei,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,HI,Hainan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,HL,Heilongjiang,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,HN,Hunan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,JL,Jilin,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,JS,Jiangsu,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,JX,Jiangxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,LN,Liaoning,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,NM,Inner Mongolia,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,NX,Ningxia,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,QH,Qinghai,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,SC,Sichuan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,SD,Shandong,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,SH,Shanghai,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,SN,Shaanxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,SX,Shanxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,TJ,Tianjin,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,XJ,Xinjiang,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,XZ,Tibet,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,YN,Yunnan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderGrass,ZJ,Zhejiang,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderHerb,AH,Anhui,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderHerb,BJ,Beijing,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderHerb,CQ,Chongqing,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderHerb,FJ,Fujian,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderHerb,GD,Guangdong,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderHerb,GS,Gansu,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderHerb,GX,Guangxi,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderHerb,GZ,Guizhou,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderHerb,HA,Henan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderHerb,HB,Hubei,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderHerb,HE,Hebei,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
FodderHerb,HI,Hainan,NA,Enter provincial share (0-1). Shares for each crop should sum to 1.0
