livestock,province_code,province_name_en,share,notes
Beef,AH,Anhui,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,BJ,Beijing,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,CQ,Chongqing,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,FJ,Fujian,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,GD,Guangdong,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,GS,Gansu,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,GX,Guangxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,GZ,Guizhou,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,HA,Henan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,HB,Hubei,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,HE,Hebei,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,HI,Hainan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,HL,Heilongjiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,HN,Hunan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,JL,Jilin,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,JS,Jiangsu,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,JX,Jiangxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,LN,Liaoning,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,NM,Inner Mongolia,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,NX,Ningxia,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,QH,Qinghai,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,SC,Sichuan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,SD,Shandong,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,SH,Shanghai,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,SN,Shaanxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,SX,Shanxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,TJ,Tianjin,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,XJ,Xinjiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,XZ,Tibet,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,YN,Yunnan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Beef,ZJ,Zhejiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,AH,Anhui,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,BJ,Beijing,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,CQ,Chongqing,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
