"Variable","In_Output","Regional","Status"
"Land Cover|Cropland",TRUE,"National","Covered"
"Agricultural Production|Livestock|Ruminant|Meat",TRUE,"National","Covered"
"Agricultural Production|Livestock|Ruminant|Dairy",TRUE,"National","Covered"
"Agricultural Production|Livestock|Non-Ruminant|Meat|Pig",TRUE,"National","Covered"
"Agricultural Production|Livestock|Non-Ruminant|Meat|Poultry",TRUE,"National","Covered"
"Population",TRUE,"Regional","Covered"
"Final Energy|Residential and Commercial|Electricity",TRUE,"Regional","Covered"
"Final Energy|Residential and Commercial|Gases",TRUE,"Regional","Covered"
"Final Energy|Residential and Commercial|Heat",TRUE,"Regional","Covered"
"Final Energy|Residential and Commercial|Hydrogen",TRUE,"Regional","Covered"
"Final Energy|Residential and Commercial|Liquids",TRUE,"Regional","Covered"
"Final Energy|Residential and Commercial|Other",TRUE,"Regional","Covered"
"Final Energy|Residential and Commercial|Solids|Biomass",TRUE,"Regional","Covered"
"Final Energy|Residential and Commercial|Solids|Coal",TRUE,"Regional","Covered"
"Production|Chemicals|Ammonia",TRUE,"Regional","Covered"
"Land Cover|Forest",TRUE,"National","Covered"
"Land Cover|Pasture",TRUE,"National","Covered"
"Final Energy|Industry|Solids|Biomass",TRUE,"Regional","Covered"
"Final Energy|Industry|Chemicals|Liquids",TRUE,"Regional","Covered"
"Final Energy|Industry|Chemicals|Electricity",TRUE,"Regional","Covered"
"Final Energy|Industry|Chemicals|Solids|Coal",TRUE,"Regional","Covered"
"Final Energy|Industry|Chemicals|Gases",TRUE,"Regional","Covered"
"Final Energy|Industry|Chemicals|Hydrogen",TRUE,"Regional","Covered"
"Final Energy|Industry|Electricity",TRUE,"Regional","Covered"
"Final Energy|Industry|Gases",TRUE,"Regional","Covered"
"Final Energy|Industry|Solids|Coal",TRUE,"Regional","Covered"
"Final Energy|Industry|Hydrogen",TRUE,"Regional","Covered"
"Final Energy|Industry|Liquids",TRUE,"Regional","Covered"
"Final Energy|Industry|Other",TRUE,"Regional","Covered"
"Final Energy|Industry|Chemicals|Heat",TRUE,"Regional","Covered"
"Final Energy|Industry|Iron and Steel|Gases",TRUE,"Regional","Covered"
"Final Energy|Industry|Heat",TRUE,"Regional","Covered"
"Final Energy|Industry|Iron and Steel|Liquids",TRUE,"Regional","Covered"
"GDP|MER",TRUE,"Regional","Covered"
"Resource|Extraction|Coal",TRUE,"National","Covered"
"Final Energy|Non-Energy Use|Solids",TRUE,"Regional","Covered"
"Final Energy|Non-Energy Use|Solids|Coal",TRUE,"Regional","Covered"
"Final Energy|Non-Energy Use|Liquids",TRUE,"Regional","Covered"
"Final Energy|Non-Energy Use|Gases",TRUE,"Regional","Covered"
"Secondary Energy|Electricity",TRUE,"Regional","Covered"
"Final Energy|Heat",TRUE,"Regional","Covered"
"Resource|Extraction|Oil",TRUE,"National","Covered"
"Resource|Extraction|Gas",TRUE,"National","Covered"
"Production|Iron and Steel|Steel",TRUE,"Regional","Covered"
"Production|Non-Metallic Minerals|Cement",TRUE,"Regional","Covered"
"Final Energy|Transportation|Gases",TRUE,"Regional","Covered"
"Final Energy|Transportation|Liquids",TRUE,"Regional","Covered"
"Final Energy|Transportation|Hydrogen",TRUE,"Regional","Covered"
